input,output
"if nazir was hiding in there, we'd have found him.",中に居たなら見付かった筈
"we gotta get this guy, hobbes.",ホッブズ 絶対に捕まえないと
you know what you have to do?,君の役目はただひとつ
when a machine emperor can't destroy an opponent's monster by battle...,機皇帝が戦闘で相手モンスターを 破壊できなかったとき
its not good enough.,ナメてんのか?
i wonder if the economy is good.,景気がいいなんて ホントなのかしらねえ。
war drives forward civilization and science.,戦争こそがが文明と科学を推し進める
that will alert company security,スキラーの近くにいけば 警備会社に通報される。
he was beyond insane.,かなりね
except there were no flames.,炎無しにな
what is this?!,《これは 何だ!?》
as expected of koutan. what kind of fish is it?,なんのなんの
that is my job.,あれこれ 聞き回っていたそうじゃないか。
and... here?,ここは?
yeah!,ええ 私よ。
"at least, that's what executives like ms. sherman would like you to believe.",シャーマンの様な経営者にとっては
"once or twice, briefly.",数回 軽くね
"yes, but his highness is in the library at the moment.",はい... ですが 世子様は今 書庫にいらっしゃるのですが
it wasn't his s and m room?,SMの部屋じゃなかったの?
i am the rice faction. mama is the bread faction.,僕は ご飯派。 ママは パン派だよ。
"i, uh",i uh- 私 -
could be some sort of family or clan signs.,考える研究者もいます
i'm on the hook. we do the four we rehearsed.,練習した曲を
murdered hastily wrote a letter,司会 童貞だわ。
who sent you?,誰の命令だ?
come on. down!,降ろして
when are we supposed to arrive if we head for it now?,今向かって一体いつ着くんだ?
"nothing really, just a decoration.",一軒だけやたらに飾りたてて
something happen?,何かあったのか?
i immersed myself into this project.,このプロジェクトに没頭しました
he's even faster than before...,さっきより速い!
you know what that means?,何を意味するかわかるよな?
hold on.,少々お待ちください。
"your mother might be afraid of you, but i'm not.",お母様はあなたを 恐れているけど 私は違うよ
before he was killed dex confirmed to me that viktor dragovic is here in jersey.,デックスが殺される前に ドラゴヴィッチが ジャージーにいるという情報を寄こした
i wonder if she'll worry.,子供は子供で集まるとなんて意地悪になるんだろう
wow! shark!,うわっ うう! シャーク!
and you would get this sort of green region,緑色が多い部分や
apartment fire. tencar pile up. hand caught in a machine.,あそこで腕を機械に 挟まった人を
"so, the truth is, in this club a violent group has..",いえね 実は そのクラブ 元は暴力団が...。
and in my place was the person people expected me to be.,誰かが私を見ても いつも変わらぬ私の姿しか見えません
"aaron, that's a little fucked up, no?",アーロン、最悪ね
"blue and black is no blood flow, orange and white is maximal.",青と黒は血流がなく オレンジと白は最大限の血流です
to hernandez.,ヘルナンデスに乾杯
"it's hormones, young love...",成長ホルモンと思春期の恋愛と
"yeah, i saw him enter the grill, but he didn't strike me as suspicious.",見かけたが 不審には思わなかった
and i'm still deciding.,同感だ まだ決めてないわ
all other things being equal,その他の条件が同じなら
so what do we find?,結果はと言うと
when i get lonely,♪ 寂しい時は...
he suddenly resigned for personal reasons.,一身上の都合とかで 突然 退職しまして。
i always ran away.,ずっと 逃げてきたんだ。
sorry.,这样下去真的可以吗
do not hang up.,電話を切らないで
a dog and...,犬と、それから・・・
i said you wanted to be close enough to watch him suffer.,十分に親しくなって 苦しむところを見届けるのだと言った
what? well...,そりゃまぁ
dell toledo...,デル・トレド
and the tear! follow!,涙持って来て!
in order to proliferate,最適な状況を
the actress nagasawa misasan was the purchaser.,購入者は 女優の永沢未紗さんでした。
the violation of school rules is banned!,ひっ! どれも 重大な校則違反です!
we have 21 minutes.,我々は21分を持っています。
"well, sweets says that she might be in on it.",スイーツが調べてるわ
now can we go on buzz lightyear?,どういう意味? バズ・ライトイヤーできる?
it is you who lent naruto hand.,ナルト 手を貸せっつったのはお前だ。
and almost at the click of a switch,ボタンをクリックするだけで
why? let's go together.,(誠人) えっ 何で?
just get me off of this thing.,だから 私を降ろして
it's a pleasure to be here,注射針と注射器の発祥地
quit whining already!,アンタは もう限界なんだよ!
"yeah, the guy has a great view, you'd swear you could see the future from his rooftop.",奴のとこは 良い景色なんだ ヤツの所なら 未来の景色が見られるかもな
